Full,Stem,Index,Min,Max,Total,Keep,Root_Index
beautifully,beautifulli,407,0,32,894,0,
prime,prime,408,0,12,219,1,
genesee,genese,409,0,5,98,1,
just,just,410,0,68,2050,0,
immaculate,immacul,411,0,8,237,0,
rambler,rambler,412,0,18,545,1,
peek,peek,413,0,8,177,1,
sound,sound,414,0,50,1251,1,
corner,corner,415,0,38,1055,1,
burning,burn,416,0,34,688,1,
extra,extra,417,0,27,814,0,
gutters,gutter,418,0,8,136,1,
r,r,419,0,4,42,0,
boat,boat,420,0,10,194,1,
sport,sport,421,0,5,99,1,
court,court,422,0,8,134,1,
schmitz,schmitz,423,0,4,64,1,
elementary,elementari,424,0,15,227,1,
did,did,425,0,3,25,0,
too,too,426,0,16,285,0,
during,dure,427,0,4,39,0,
holiday,holidai,428,0,3,35,1,
come,come,429,0,25,547,0,
south,south,430,0,17,406,1,
check,check,431,0,7,83,1,
trim,trim,432,0,10,269,1,
as,a,433,0,55,1648,0,
fresh,fresh,434,0,23,582,1,
was,wa,435,0,18,523,0,
when,when,436,0,7,126,0,
giant,giant,438,0,4,60,1,
additional,addit,439,0,33,1112,0,
4th,4th,440,0,17,486,1,
stove,stove,441,0,18,381,1,
ever,ever,442,0,5,101,0,
so,so,443,0,19,408,0,
used,us,444,0,21,525,1,
single,singl,445,0,8,182,1,
close,close,446,0,78,1990,1,
farm,farm,447,0,4,76,1,
builder,builder,448,0,7,141,1,
dream,dream,449,0,19,445,1,
legal,legal,450,0,5,65,1,
tax,tax,451,0,3,47,1,
parcels,parcel,452,0,7,41,1,
each,each,453,0,14,235,0,
square,squar,454,0,12,298,1,
feet,feet,455,0,9,157,1,
ground,ground,456,0,11,343,1,
territorial,territori,457,0,18,493,1,
sunsets,sunset,458,0,22,494,1,
lincoln,lincoln,459,0,9,229,1,
southern,southern,460,0,5,125,1,
tear,tear,461,0,3,36,1,
rehab,rehab,462,0,4,37,1,
no,no,463,0,17,367,0,
don,don,464,0,13,362,0,
sale,sale,465,0,11,166,1,
welcome,welcom,466,0,41,1046,0,
urban,urban,467,0,18,387,1,
retreat,retreat,468,0,12,327,1,
adorable,ador,469,0,12,246,0,
totally,total,470,0,10,228,0,
ans,an,472,0,103,3091,0,
stylish,stylish,473,0,12,282,1,
quartz,quartz,474,0,25,401,1,
dark,dark,475,0,4,69,1,
newly,newli,476,0,21,571,1,
west,west,477,0,45,958,1,
facing,face,478,0,26,646,1,
endless,endless,479,0,9,139,0,
opportunities,opportun,480,0,33,765,0,
recreation,recreat,481,0,6,164,1,
clean,clean,482,0,10,285,1,
please,pleas,483,0,9,186,0,
call,call,484,0,11,232,0,
helpful,help,485,0,6,90,0,
agent,agent,486,0,13,152,0,
showing,show,487,0,7,164,1,
nestled,nestl,488,0,15,302,1,
at,at,489,0,34,918,0,
road,road,490,0,7,42,1,
like,like,491,0,30,791,0,
gives,give,492,0,6,158,0,
mid,mid,493,0,36,1116,1,
century,centuri,494,0,40,1263,1,
complete,complet,495,0,47,1251,0,
privacy,privaci,496,0,26,663,1,
slate,slate,497,0,10,260,1,
circular,circular,498,0,12,317,1,
sized,size,499,0,42,1271,1,
own,own,500,0,27,695,1,
nw,nw,501,0,13,260,1,1202
contemporary,contemporari,502,0,25,577,1,
blks,blk,503,0,6,103,1,349
hdwds,hdwd,504,0,11,246,1,101
flr,flr,505,0,26,860,1,126
liv,liv,506,0,14,202,1,46
din,din,507,0,9,195,1,98
rm,rm,508,0,87,2235,1,35
wet,wet,509,0,8,207,1,
bar,bar,510,0,25,718,1,
fpl,fpl,511,0,4,41,1,89
lg,lg,512,0,13,302,0,
bth,bth,513,0,20,519,1,83
closet,closet,514,0,68,1709,1,
utility,util,515,0,21,672,1,
magnificent,magnific,516,0,7,91,0,
take,take,517,0,12,357,0,
breath,breath,518,0,2,28,0,
away,awai,519,0,22,549,1,
elevator,elev,520,0,5,73,1,
dont,dont,521,0,3,71,0,
purchase,purchas,522,0,4,54,1,
secluded,seclud,523,0,8,185,1,
ferry,ferri,524,0,7,117,1,
pool,pool,525,0,8,254,1,
hot,hot,526,0,25,710,1,
exudes,exud,527,0,5,60,0,
