Full,Stem,Index,Min,Max,Total,Keep,Root_Index
square,squar,496,0,12,298,1,
feet,feet,497,0,9,157,1,
ground,ground,498,0,11,343,1,
territorial,territori,499,0,18,493,1,
sunsets,sunset,500,0,22,494,1,
lincoln,lincoln,501,0,9,229,1,
southern,southern,502,0,5,125,1,
tear,tear,503,0,3,36,0,
rehab,rehab,504,0,4,37,1,
no,no,506,0,17,367,0,
don,don,508,0,13,362,0,
sale,sale,509,0,11,166,1,
welcome,welcom,510,0,41,1046,0,
urban,urban,511,0,18,387,1,
retreat,retreat,512,0,12,327,1,
adorable,ador,513,0,12,246,0,
totally,total,514,0,10,228,0,
ans,an,516,0,103,3091,0,
stylish,stylish,517,0,12,282,1,
quartz,quartz,518,0,25,401,1,
dark,dark,519,0,4,69,0,
newly,newli,520,0,21,571,0,
west,west,521,0,45,958,1,
facing,face,522,0,26,646,1,
endless,endless,523,0,9,139,0,
opportunities,opportun,524,0,33,765,0,
recreation,recreat,525,0,6,164,1,
clean,clean,526,0,10,285,1,
please,pleas,527,0,9,186,0,
call,call,528,0,11,232,0,
helpful,help,529,0,6,90,0,
agent,agent,530,0,13,152,0,
showing,show,531,0,7,164,1,
nestled,nestl,532,0,15,302,1,
at,at,533,0,34,918,0,
road,road,534,0,7,42,1,
like,like,535,0,30,791,0,
gives,give,536,0,6,158,0,
mid,mid,537,0,36,1116,0,
century,centuri,538,0,40,1263,1,
complete,complet,539,0,47,1251,0,
privacy,privaci,540,0,26,663,1,
slate,slate,541,0,10,260,1,
circular,circular,542,0,12,317,1,
sized,size,543,0,42,1271,1,
own,own,544,0,27,695,1,
nw,nw,545,0,13,260,1,1202
contemporary,contemporari,546,0,25,577,1,
blks,blk,547,0,6,103,1,349
hdwds,hdwd,548,0,11,246,1,101
flr,flr,550,0,26,860,1,126
liv,liv,551,0,14,202,1,46
din,din,552,0,9,195,1,98
rm,rm,553,0,87,2235,1,35
wet,wet,554,0,8,207,1,
bar,bar,555,0,25,718,1,
fpl,fpl,556,0,4,41,1,89
lg,lg,557,0,13,302,0,
bth,bth,558,0,20,519,1,83
closet,closet,559,0,68,1709,1,
utility,util,560,0,21,672,1,
magnificent,magnific,561,0,7,91,0,
take,take,562,0,12,357,0,
breath,breath,563,0,2,28,0,
away,awai,564,0,22,549,0,
elevator,elev,565,0,5,73,1,
dont,dont,566,0,3,71,0,
purchase,purchas,567,0,4,54,0,
secluded,seclud,569,0,8,185,1,
